Number,Crime,Address,Time,url
12-000326,Domestic Violence,1400 block of Mayfield St,725,pages/view.aspx?publish_date=20120102
12-000719,Burglary,3800 block of Presidio St,1951,pages/view.aspx?publish_date=20120102
12-000967,Attempt Stolen Vehicle,2400 block of Seamist Dr,157,pages/view.aspx?publish_date=20120102
12-000985,Shooting,1700 block of Tribute Rd,327,pages/view.aspx?publish_date=20120102
12-000526,Traffic Stop,Power Inn Rd / Cucamonga Ave,1501,pages/view.aspx?publish_date=20120102
12-000649,Sexual Assault,Unknown Location,1804,pages/view.aspx?publish_date=20120102
12-000755,Burglary,5137 Cabot Cir,2047,pages/view.aspx?publish_date=20120102
12-000356,Shooting,21st St / Broadway,848,pages/view.aspx?publish_date=20120102
12-000721,Shooting,6600 block of Bruceville Rd,1954,pages/view.aspx?publish_date=20120102
12-000959,Suspicious Subject,1400 block of 69th Ave,147,pages/view.aspx?publish_date=20120102
12-000988,Shooting,7600 block of Detroit Blvd,343,pages/view.aspx?publish_date=20120102
12-001621,Suspicious Vehicle,2400 block of Del Paso Blvd,2130,pages/view.aspx?publish_date=20120103
12-001623,Pursuit,Norwood Ave / I 80 Eb,2134,pages/view.aspx?publish_date=20120103
12-001729,Domestic Violence,Orlando/Vaness St,2,pages/view.aspx?publish_date=20120103
12-001023,Robbery,8300 block of Folsom Blvd,629,pages/view.aspx?publish_date=20120103
12-001068,Suspicious Subject,3800 block of 16th Ave,840,pages/view.aspx?publish_date=20120103
12-001234,Subject Stop,13th St / F St,1328,pages/view.aspx?publish_date=20120103
12-001250,Suspicious Subject,13th St/C St Alley,1347,pages/view.aspx?publish_date=20120103
12-001323,Dead Body,3400 block of Newson Ct,1518,pages/view.aspx?publish_date=20120103
12-001381,Burglary,5600 block of Helen Way,1619,pages/view.aspx?publish_date=20120103
12-001510,Domestic Dispute,4500 block of Lew Way,1837,pages/view.aspx?publish_date=20120103
12-001532,Burglary,2900 block of N Meadows Pl,1914,pages/view.aspx?publish_date=20120103
12-001850,Suspicious Subject,2400 block of Rio Linda Blvd,748,pages/view.aspx?publish_date=20120104
12-001992,Stolen Vehicle,Harris/Norwood Ave,1908,pages/view.aspx?publish_date=20120104
12-002675,Burglary,2300 block of Oak Harbour Dr,2250,pages/view.aspx?publish_date=20120104
12-002695,Indecent Exposure,1900 block of Bowling Green Dr,2324,pages/view.aspx?publish_date=20120104
12-002132,Suspicious Circumstance,59th St / T St,1309,pages/view.aspx?publish_date=20120104
12-002329,Shooting,8800 block of Elder Creek Rd,1628,pages/view.aspx?publish_date=20120104
12-002392,Warrant Arrest,1200 block of North B St,1721,pages/view.aspx?publish_date=20120104
12-002648,Suspicious Subject,3600 block of 37th St,2224,pages/view.aspx?publish_date=20120104
12-002726,Attempt Burglary,6300 block of 37th Ave,22,pages/view.aspx?publish_date=20120104
12-002804,Theft,1600 block of N St (Alley),520,pages/view.aspx?publish_date=20120104
12-002001,Robbery,8200 block of Center Pkwy,1048,pages/view.aspx?publish_date=20120104
12-002038,Robbery,6300 block of Bamford Dr,1129,pages/view.aspx?publish_date=20120104
12-002118,Burglary,8600 block of Sunnybrae Dr,1259,pages/view.aspx?publish_date=20120104
